



siteliner

Hyperlink	URL	Title	Page Power	Size	Words	Modified	Match Words	Match Percentage	Match Pages	Match Words (with common)	Match Percentage (with common)	Match Pages (with common)	Broken Links Out	Links Out	Links In	Skip Reason	Redirected to		
https://www.theroofstore.net/	(home page)	The Roof Store, Roof Painting, Roof Specialist In Florida |	7	80	2,149	########	1,558	72%	3	2,149	100%	23	0	64	0				
https://www.theroofstore.net/index.php	index.php	The Roof Store, Roof Painting, Roof Specialist In Florida |	92	80	2,149	########	1,558	72%	3	2,149	100%	6	0	63	162				
https://www.theroofstore.net/aboutus.php	aboutus.php	The Roof Store | About Us | Professional Roofing Services	92	48	1,809	########	0	0%	0	598	33%	3	0	54	162				
https://www.theroofstore.net/fl/serviceareas.php	fl/serviceareas.php	Find The Roof Store's Premium Roofing Services Near You	100	56	878	########	0	0%	0	858	98%	17	0	152	162				
https://www.theroofstore.net/fungal-shield-system.php	fungal-shield-system.php	Advanced Fungal Shield System For Your Roof - The Roof Store	92	40	601	########	0	0%	0	595	99%	33	0	54	162				
https://www.theroofstore.net/roof-shield-system.php	roof-shield-system.php	High Wind Resistant Roof Coating, Hurricane Proof Roof System, Rubber Roof Shield	92	41	598	########	0	0%	0	594	99%	7	0	54	162				
https://www.theroofstore.net/services/additional-roof-life-certification.php	services/additional-roof-life-certification.php	Get Citizens Roof Life Certification, usefull roof life verification	92	62	3,220	########	313	10%	4	907	28%	12	0	54	162				
https://www.theroofstore.net/services/residential-flat-roof-waterproofing.php	services/residential-flat-roof-waterproofing.php	Get Residential Flat Roof Waterproofing Services At The Roof Store	92	48	930	########	68	7%	3	684	74%	35	0	54	162				
https://www.theroofstore.net/services/residential-flat-roof-painting.php	services/residential-flat-roof-painting.php	The Roof Store - Premium Residential Flat Roof Painting Services	92	48	988	########	83	8%	1	677	69%	3	0	54	162				
https://www.theroofstore.net/services/residential-flat-roof-repairandmaintenance.php	services/residential-flat-roof-repairandmaintenance.php	https://www.theroofstore.net/services/residential-flat-roof-repair-and-maintenance.php	93	0	0	########	0	0%	0	0	0%	0	0	0	163	HTTP Header Redirect	https://www.theroofstore.net/services/residential-flat-roof-repair-and-maintenance.php		
https://www.theroofstore.net/services/residential-flat-roof-restoration.php	services/residential-flat-roof-restoration.php	Best Residential Flat Roof Restoration Services - The Roof Store	92	47	993	########	70	7%	1	672	68%	21	0	54	162				
https://www.theroofstore.net/services/residential-flat-roof-coating.php	services/residential-flat-roof-coating.php	Visit The Roof Store For Quality Residential Flat Roof Coating Services	92	47	938	########	152	16%	4	756	81%	17	0	54	162				
https://www.theroofstore.net/services/cement-tile-roof-waterproofing.php	services/cement-tile-roof-waterproofing.php	High-Quality Cement Tile Roof Waterproofing Services - The Roof Store	92	49	1,216	########	153	13%	3	754	62%	32	0	54	162				
https://www.theroofstore.net/services/cement-tile-roof-painting.php	services/cement-tile-roof-painting.php	Get Premium Cement Tile Roof Painting Services At The Roof Store	92	49	1,250	########	94	8%	1	685	55%	3	0	54	162				
https://www.theroofstore.net/services/cement-tile-roof-repairandmaintenance.php	services/cement-tile-roof-repairandmaintenance.php	The Roof Store -Quality Cement Tile Roof Repair&Maintenance Services	92	48	1,132	########	141	12%	3	735	65%	6	0	54	162				
https://www.theroofstore.net/services/cement-tile-roof-restoration.php	services/cement-tile-roof-restoration.php	Restore And Protect Your Cement Roof Tiles - The Roof Store	92	48	1,082	########	21	2%	1	612	57%	3	0	54	162				
https://www.theroofstore.net/services/residentia-cement-tile-roof-coating.php	services/residentia-cement-tile-roof-coating.php	https://www.theroofstore.net/services/residential-cement-tile-roof-coating.php	93	0	0	########	0	0%	0	0	0%	0	0	0	163	HTTP Header Redirect	https://www.theroofstore.net/services/residential-cement-tile-roof-coating.php		
https://www.theroofstore.net/services/spanish-tile-roof-waterproofing.php	services/spanish-tile-roof-waterproofing.php	The Roof Store - Professional Spanish Tile Roof Waterproofing Services	92	49	1,286	########	273	21%	3	870	68%	4	0	54	162				
