Priority,Directory,Listing URL,Issue,What to Fix,Status
HIGH,teleadreson.com,https://teleadreson.com/the-roof-store-waterproofing-products,4801-s-university-dr,-davie,-fl-33328,-united-states-9XqRAPV6kQA.html,Wrong address + wrong zip,Update to: 4411 SW 47th Ave | Davie FL 33314,To Do
HIGH,118free.net,https://118free.net/listings/4801-s-university-dr-davie-fl-33328-united-states-the-roof-store-waterproofing-products/,Wrong address + wrong zip,Update to: 4411 SW 47th Ave | Davie FL 33314,To Do
HIGH,addonbiz.com,https://www.addonbiz.com/listing/4801-s-university-dr-davie-fl-33328-united-states-the-roof-store-waterproofing-products/,Wrong address + wrong zip,Update to: 4411 SW 47th Ave | Davie FL 33314,To Do
HIGH,getyourpros.com,https://www.getyourpros.com/united-states/davie/roofing/the-roof-store-waterproofing-products/33328/florida,Wrong zip code in URL + listing,Update zip to: 33314,To Do
HIGH,construction-us.org,https://florida.construction-us.org/1054260-the_roof_store_waterproofing_products.htm,Wrong address + junk email (dylanluke673@gmail.com),Update address & email to: theroofstore@gmail.com,To Do
HIGH,contractorgateway.com,https://www.contractorgateway.com/florida/davie/roofing-siding-eaves/sweet-kristy,Listed under wrong business name (Sweet Kristy),Claim or correct listing to The Roof Store Waterproofing Products,To Do
HIGH,norcalbusinessdirectory.com,https://www.norcalbusinessdirectory.com/davie/business-3/sweet-kristy,Listed under wrong business name (Sweet Kristy),Claim or correct listing to The Roof Store Waterproofing Products,To Do
HIGH,digitalbusinessdirectory.online,https://www.digitalbusinessdirectory.online/florida/davie/sweet-kristy,Listed under wrong business name (Sweet Kristy),Claim or correct listing to The Roof Store Waterproofing Products,To Do
HIGH,ilocatelocal.com,https://www.ilocatelocal.com/davie/business-services/sweet-kristy,Listed under wrong business name (Sweet Kristy),Claim or correct listing to The Roof Store Waterproofing Products,To Do
HIGH,yumlist.ca,https://www.yumlist.ca/davie/roofing/sweet-kristy,Listed under wrong business name (Sweet Kristy),Claim or correct listing to The Roof Store Waterproofing Products,To Do
HIGH,loqalindian.com,https://www.loqalindian.com/davie/sweet-kristy,Listed under wrong business name (Sweet Kristy),Claim or correct listing to The Roof Store Waterproofing Products,To Do
HIGH,misterwhat.com,https://www.misterwhat.com/agers-heating-cooling-k87qUNzwTtA,Links to a completely different business (Agers Heating Cooling),Remove or re-submit correct listing for The Roof Store,To Do
MEDIUM,411.info,https://411.info/manage/business/thanks?src=footer&type=add,Management/thank you page — not a public citation,Verify listing was actually submitted and find the public URL,To Do
MEDIUM,neustarlocaleze.biz,https://neustarlocaleze.biz/manage/#/subscriptions/roof998/details,Account management URL — not a public citation,Log in and confirm the public listing is live,To Do
MEDIUM,localsiding.com,https://localsiding.com/account/listing_view?id=6033079,Account page — not a public citation,Verify the public listing URL and replace with it,To Do
MEDIUM,localmechanics.net,https://localmechanics.net/account/listing_view?id=6033080,Account page — not a public citation,Verify the public listing URL and replace with it,To Do
MEDIUM,elocal.com,https://www.elocal.com/confirm/897ab2c9...,Email verification link — not a public citation,Complete email verification so the listing goes live,To Do
LOW,chamberofcommerce.com,https://www.chamberofcommerce.com/business-directory/florida/davie/roofing-supply-store/2012435009-the-roof-store-waterproofing-products,Verify NAP is correct,Check address + phone + email match current info,To Do
LOW,merchantcircle.com,https://www.merchantcircle.com/the-roof-store-waterproofing-products-fort-lauderdale-fl,Says Fort Lauderdale — should say Davie,Confirm address shows 4411 SW 47th Ave Davie FL 33314,To Do
LOW,yellow.place,https://yellow.place/en/the-roof-store-waterproofing-products-davie-fl-usa,Verify NAP is correct,Check address + phone + email match current info,To Do
LOW,hotfrog.com,https://www.hotfrog.com/company/1719761c281062d02f70bc54c3c6c69b/the-roof-store-waterproofing-products/davie/roofs-ceilings,Verify NAP is correct,Check address + phone + email match current info,To Do
LOW,citysquares.com,https://citysquares.com/b/the-roof-store-waterproofing-products-25452816,Verify NAP is correct,Check address + phone + email match current info,To Do
LOW,brownbook.net,https://www.brownbook.net/business/52187594/the-roof-store-waterproofing-products/,Verify NAP is correct,Check address + phone + email match current info,To Do
LOW,enrollbusiness.com,https://us.enrollbusiness.com/BusinessProfile/6443791/The%20Roof%20Store%20Waterproofing%20Products,Verify NAP is correct,Check address + phone + email match current info,To Do
LOW,callupcontact.com,https://www.callupcontact.com/b/businessprofile/The_Roof_Store_Waterproofing_Products/8760766,Verify NAP is correct,Check address + phone + email match current info,To Do
LOW,preferredprofessionals.com,https://www.preferredprofessionals.com/davie/home-services/the-roof-store-waterproofing-products,Verify NAP is correct,Check address + phone + email match current info,To Do
LOW,trueen.com,https://trueen.com/business/listing/the-roof-store-waterproofing-products/371353,Verify NAP is correct,Check address + phone + email match current info,To Do
LOW,earthmom.org,https://www.earthmom.org/davie/roofer/the-roof-store-waterproofing-products,Verify NAP is correct,Check address + phone + email match current info,To Do
LOW,biztobiz.org,https://www.biztobiz.org/davie/business-services/the-roof-store-waterproofing-products,Verify NAP is correct,Check address + phone + email match current info,To Do
